gruppe,name,vorlage,ueberraschung_1,ueberraschung_2,L50_1,L50_2,dlogp_block0_vork1,dlogp_block1_vork1,dlogp_block2_vork1,dlogp_block3_vork1,dlogp_block4_vork1,dlogp_block5_vork1,dlogp_block6_vork1,dlogp_block7_vork1,dlogp_block8_vork1,dlogp_block9_vork1,dlogp_block10_vork1,dlogp_block11_vork1,dlogp_block12_vork1,dlogp_block13_vork1,dlogp_block14_vork1,dlogp_block15_vork1,dlogp_block16_vork1,dlogp_block17_vork1,dlogp_block18_vork1,dlogp_block19_vork1,dlogp_block20_vork1,dlogp_block21_vork1,dlogp_block22_vork1,dlogp_block23_vork1,dlogp_block0_vork2,dlogp_block1_vork2,dlogp_block2_vork2,dlogp_block3_vork2,dlogp_block4_vork2,dlogp_block5_vork2,dlogp_block6_vork2,dlogp_block7_vork2,dlogp_block8_vork2,dlogp_block9_vork2,dlogp_block10_vork2,dlogp_block11_vork2,dlogp_block12_vork2,dlogp_block13_vork2,dlogp_block14_vork2,dlogp_block15_vork2,dlogp_block16_vork2,dlogp_block17_vork2,dlogp_block18_vork2,dlogp_block19_vork2,dlogp_block20_vork2,dlogp_block21_vork2,dlogp_block22_vork2,dlogp_block23_vork2
unbekannt,Pulrie,2,10.6405,0.0159,1,13,-1.1461,0.0312,-1.4909,-0.4602,-1.8038,-0.2197,0.6234,0.0539,0.3819,0.4462,0.2697,0.1649,-0.1248,0.8105,1.109,-0.5591,0.1448,-0.0654,-1.048,-1.5828,-0.3094,0.6099,-0.5674,-1.2968,-11.972,-2.0066,0.0033,0.009,0.0037,-0.0188,-0.0171,-0.0879,-0.0853,-0.0206,-0.0568,0.0037,-0.0411,0.0032,-0.0288,0.0051,-0.0065,0.0056,-0.0002,-0.0005,-0.0154,-0.0039,-0.0776,-1.4901
unbekannt,Dixrie,0,15.4347,0.2037,1,22,3.8423,-2.5848,-0.5592,-1.4413,0.2621,0.417,-0.066,0.9362,0.6127,0.7579,0.0564,0.4849,-1.4402,0.4713,1.1974,-0.5631,-0.0685,1.0931,0.8118,-0.2848,-0.9449,0.9517,0.3096,2.0532,-11.5639,-1.1334,-0.0019,-2.1784,-2.0362,-0.6183,-0.4525,-0.489,-1.5486,-0.3611,-0.5936,0.0454,-0.2129,0.1276,-0.1739,-0.0389,0.0315,0.0979,0.0923,-0.0259,-0.2009,-0.0347,-0.8488,-2.0992
unbekannt,Dixrie,1,13.1625,0.8922,1,10,1.6676,-0.9178,-1.1249,-2.0303,0.2162,0.142,-0.1516,-0.0196,-0.0261,1.1421,0.7189,1.6428,-1.3189,0.1525,0.4521,0.0404,-0.2356,0.3252,0.7265,-1.1758,-1.4347,0.5691,-0.5676,0.256,-10.7467,-1.8577,-0.7684,0.0447,-3.3839,-0.2637,0.0427,-0.6187,-1.3196,-0.1113,-0.5468,0.3565,-0.1793,-0.1199,-0.3399,0.2085,0.0956,0.4701,0.4026,-0.3995,-0.3893,-0.3855,-1.7939,-3.2336
unbekannt,Dixrie,2,15.4078,0.2156,1,22,4.3959,0.3578,-0.6569,-0.9369,-0.9338,0.0792,0.7274,-0.115,0.0823,0.5274,0.6269,0.4993,-0.2389,0.5859,1.001,-0.8306,-0.3129,-0.3665,0.751,-0.3234,-0.1292,1.1013,0.7561,1.3299,-11.3915,-7.3121,-0.3809,-0.2477,-2.2828,-0.2617,-0.5267,-1.5397,-0.929,-0.2519,-0.5642,0.1054,-0.1494,0.041,-0.1634,-0.1124,0.0391,0.058,0.0396,-0.0844,-0.2384,-0.0678,-0.9175,-2.1922
unbekannt,Hansrie,0,10.0346,0.0117,1,15,-1.4137,-2.4389,-1.3137,-1.75,-0.2369,-0.6648,-0.3601,-0.297,0.4249,-0.1472,-0.2047,1.3,0.2575,0.3607,0.8018,-1.3995,-0.2627,-1.1775,0.1591,-0.6694,-0.9826,0.5487,0.1203,-2.5265,-11.1361,-2.2082,-0.0436,-0.0167,-0.061,-0.0949,0.0049,0.0051,-0.0314,0.0026,-0.0399,-0.0097,-0.0376,-0.0001,-0.0322,-0.0045,0.0002,0.0067,0.0074,0.0034,-0.004,-0.0038,-0.0541,-0.7943
unbekannt,Hansrie,1,13.7678,0.1053,6,15,2.4255,-0.9853,-0.6883,-0.0786,0.2971,0.4047,-0.264,0.8145,0.7215,0.3579,0.8934,2.0856,-0.0933,0.2732,0.4687,-0.4843,-0.2553,-0.3754,-0.2481,-0.1133,-0.3418,0.0303,0.3066,0.3099,-10.5809,-3.155,-0.1013,0.0739,-0.6367,0.0032,0.0041,0.0554,-0.1742,-0.0283,0.0132,-0.1876,-0.1457,-0.0056,-0.0825,-0.0012,-0.0118,0.0853,0.0773,0.0606,0.0457,0.0018,-0.3697,-2.672
unbekannt,Hansrie,2,11.6798,0.0441,1,15,1.6709,-1.8468,-0.3609,-0.1346,-1.0511,-0.382,-0.3957,-0.1889,0.5554,0.1951,0.8889,0.9897,1.1135,0.8609,1.467,-1.2809,0.3433,-1.4446,-0.4935,0.1518,-0.4789,-0.0938,0.5366,-2.0163,-13.0418,-10.9029,-0.1382,-0.0166,-0.1269,-0.1346,0.0071,-0.0015,-0.0394,0.0053,-0.1163,-0.0633,-0.1033,-0.0067,-0.0747,0.0048,-0.0231,0.0244,0.0184,0.0059,-0.0228,-0.005,-0.107,-1.0603
unbekannt,Matrie,0,10.1042,0.066,1,10,-1.2021,-0.2402,-0.5298,0.4755,-0.547,-0.2969,0.1026,0.2059,-0.1021,0.3174,-0.5942,0.3502,-0.314,0.2288,0.9295,0.5924,0.0684,-0.5485,-0.051,0.5428,-0.2223,-0.1395,-0.8254,-2.3258,-10.8849,-0.3447,0.029,-0.0725,-0.0669,-0.0974,0.0206,-0.0117,0.0146,0.0413,-0.1198,0.0551,-0.1303,0.0047,-0.1306,0.0511,0.0307,0.0317,-0.0092,0.0138,-0.0266,-0.0043,-0.12,-1.6702
unbekannt,Matrie,1,10.0904,0.0356,1,10,-1.9032,-0.4114,-0.0172,-0.0397,-0.6252,-0.2471,-0.368,0.0361,-0.259,0.1215,-0.2453,0.4379,-0.6402,-0.8157,0.2673,1.2108,0.5305,-0.0309,0.3264,0.1962,-0.8413,-0.1434,-0.4147,-1.7943,-12.0379,-0.103,-0.0159,-0.0714,-0.0618,-0.1528,-0.0154,-0.0587,-0.0133,-0.0138,-0.0128,0.0281,-0.0312,0.0091,-0.0044,0.0227,0.0147,0.0238,-0.0205,0.0021,-0.0257,-0.0153,-0.1291,-1.3683
unbekannt,Matrie,2,10.2377,0.1082,1,10,-0.7758,-0.7278,-0.3167,0.7141,-0.9373,-0.3919,0.1393,-0.3104,-0.2835,0.2603,-0.5011,0.2297,-0.2236,0.4748,1.1371,0.5434,0.2268,0.1433,0.3552,0.3401,-0.017,0.0495,-0.5983,-1.9758,-11.6645,-6.0851,0.0361,-0.0822,-0.1066,-0.2719,-0.1634,-0.1264,-0.186,0.0372,-0.3119,0.0672,-0.1814,-0.1844,-0.3535,0.0715,0.007,0.043,-0.0025,0.0011,-0.0166,-0.0194,-0.1542,-1.468
